"Phytophthora","Host","Level.2","Level.1","UK","England","Scotland","Wales","N Ireland","Nation unknown"
"P. pseudosyringae","Ilex","Northern Europe","Europe",1,1,0,0,0,0
"P. pseudosyringae","Kalmia","Northern Europe","Europe",1,0,1,0,0,0
"P. pseudosyringae","Larix","Northern Europe","Europe",3,0,3,0,0,0
"P. pseudosyringae","Magnolia","Northern Europe","Europe",3,0,3,0,0,0
"P. pseudosyringae","Nothofagus","Northern Europe","Europe",46,2,2,0,0,21
"P. pseudosyringae","Pieris","Northern Europe","Europe",1,0,1,0,0,0
"P. pseudosyringae","Quercus","Northern Europe","Europe",6,0,6,0,0,0
"P. pseudosyringae","Rhododendron","Northern Europe","Europe",2,1,1,0,0,0
"P. pseudosyringae","Tilia","Northern Europe","Europe",1,1,0,0,0,0
"P. pseudosyringae","Vaccinium","Northern Europe","Europe",55,30,0,18,0,7
"P. pseudosyringae","Veronica","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Abies","Northern Europe","Europe",4,0,1,1,1,1
"P. ramorum","Acer","Northern Europe","Europe",9,6,0,0,0,3
"P. ramorum","Aesculus","Northern Europe","Europe",2,0,0,0,0,2
"P. ramorum","Agarista","Northern Europe","Europe",2,1,0,1,0,0
"P. ramorum","Arbutus","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Aucuba","Northern Europe","Europe",2,0,0,2,0,0
"P. ramorum","Berberis","Northern Europe","Europe",1,0,0,1,0,0
"P. ramorum","Betula","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Camellia","Northern Europe","Europe",197,191,0,4,0,2
"P. ramorum","Castanea","Northern Europe","Europe",82,68,0,7,0,7
"P. ramorum","Castanopsis","Northern Europe","Europe",1,0,0,0,0,1
"P. ramorum","Cedrus","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Cephalotaxus","Northern Europe","Europe",1,0,0,0,0,1
"P. ramorum","Chaenomeles","Northern Europe","Europe",1,0,0,0,0,1
"P. ramorum","Chamaecyparis","Northern Europe","Europe",7,2,2,1,0,2
"P. ramorum","Choisya","Northern Europe","Europe",2,2,0,0,0,0
"P. ramorum","Chrysojasminum","Northern Europe","Europe",1,0,0,1,0,0
"P. ramorum","Cinnamomum","Northern Europe","Europe",2,2,0,0,0,0
"P. ramorum","Cornus","Northern Europe","Europe",18,18,0,0,0,0
"P. ramorum","Corylopsis","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Cotoneaster","Northern Europe","Europe",3,3,0,0,0,0
"P. ramorum","Crataegus","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Daphne","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Drimys","Northern Europe","Europe",8,6,0,0,0,2
"P. ramorum","Elaeagnus","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Euonymus","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Exochorda","Northern Europe","Europe",1,1,0,0,0,0
"P. ramorum","Fagus","Northern Europe","Europe",18,11,1,0,0,6
"P. ramorum","Fothergilla","Northern Europe","Europe",2,2,0,0,0,0
"P. ramorum","Fraxinus","Northern Europe","Europe",2,0,0,0,0,2
"P. ramorum","Garrya","Northern Europe","Europe",7,5,1,1,0,0
"P. ramorum","Gaultheria","Northern Europe","Europe",5,4,0,1,0,0
"P. ramorum","Griselinia","Northern Europe","Europe",4,1,0,0,0,3
"P. ramorum","Hamamelis","Northern Europe","Europe",35,22,0,4,0,9
"P. ramorum","Ilex","Northern Europe","Europe",10,10,0,0,0,0
"P. ramorum","Kalmia","Northern Europe","Europe",70,51,7,10,0,2
"P. ramorum","Larix","Northern Europe","Europe",4061,862,3188,1,4,6
