"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Cinchona","South-Central Pacific","Pacific","Yes","","","","","","",""
"Coleus","West Tropical Africa","Africa","No","","","","","","",""
"Coleus","Western Indian Ocean","Africa","Both","","","","","","",""
"Coleus","Caribbean","Southern America","Yes","","","","","","",""
"Coleus","Australia","Australasia","Both","Yes","Yes","","","","",""
"Coleus","Southern Africa","Africa","No","","","","","","",""
"Coleus","Indian Subcontinent","Asia-Tropical","No","Yes","","","","","",""
"Coleus","Malesia","Asia-Tropical","No","","","","","","",""
"Coleus","Western South America","Southern America","Yes","","","","","","",""
"Coleus","Papuasia","Asia-Tropical","No","","","","","","",""
"Coleus","Indo-China","Asia-Tropical","No","","","","","","",""
"Coleus","Central America","Southern America","Yes","","","","","","",""
"Coleus","Southwestern Pacific","Pacific","Both","","","","","","",""
"Coleus","Brazil","Southern America","Yes","","","","","","",""
"Coleus","West-Central Tropical Africa","Africa","No","","","","","","",""
"Coleus","Mexico","Northern America","Yes","Yes","","","","","",""
"Coleus","Northern South America","Southern America","Yes","","","","","","",""
"Coleus","Southeastern U.S.A.","Northern America","Yes","Yes","","","","","",""
"Coleus","Northeast Tropical Africa","Africa","No","","","","","","",""
"Coleus","Eastern Asia","Asia-Temperate","No","","","","","","",""
"Coleus","Northwestern Pacific","Pacific","Both","","","","","","",""
"Coleus","South Tropical Africa","Africa","No","","","","","","",""
"Coleus","East Tropical Africa","Africa","No","","","","","","",""
"Coleus","South-Central Pacific","Pacific","Both","","","","","","",""
"Coleus","Middle Atlantic Ocean","Africa","Yes","","","","","","",""
"Coleus","North-Central Pacific","Pacific","No","","","","","","",""
"Coleus","China","Asia-Temperate","No","","","","","","",""
"Coleus","Arabian Peninsula","Asia-Temperate","No","","","","","","",""
"Coleus","Macaronesia","Africa","Yes","","","","","","",""
"Coleus","Northern Africa","Africa","No","","","","","","",""
"Colocasia","Indo-China","Asia-Tropical","Both","Yes","","","","","",""
"Colocasia","Malesia","Asia-Tropical","Both","Yes","","","","","",""
"Colocasia","South-Central Pacific","Pacific","Yes","","","","","","",""
"Colocasia","Caribbean","Southern America","Yes","Yes","","","","","",""
"Colocasia","Northwestern Pacific","Pacific","Yes","Yes","","","","","",""
"Colocasia","Australia","Australasia","Yes","","","","","","",""
"Colocasia","Central America","Southern America","Yes","","","","","","",""
"Colocasia","Indian Subcontinent","Asia-Tropical","Both","Yes","","","","","",""
"Colocasia","Macaronesia","Africa","Yes","","","","","","",""
"Colocasia","Papuasia","Asia-Tropical","Yes","Yes","","","","","",""
"Colocasia","Southern South America","Southern America","Yes","","","","","","",""
"Colocasia","West-Central Tropical Africa","Africa","Yes","Yes","","","","","",""
"Colocasia","Southeastern U.S.A.","Northern America","Yes","","","","","","",""
"Colocasia","South-Central U.S.A.","Northern America","Yes","","","","","","",""
"Colocasia","West Tropical Africa","Africa","Yes","Yes","","","","","",""
"Colocasia","Southwestern Pacific","Pacific","Yes","Yes","Yes","","","","",""
"Colocasia","Southwestern Europe","Europe","Yes","","","","","","",""
"Colocasia","China","Asia-Temperate","No","Yes","","","","","",""
"Colocasia","Mexico","Northern America","Yes","","","","","","",""
"Colocasia","Western South America","Southern America","Yes","","","","","","",""
"Colocasia","Northern Africa","Africa","Yes","","","","","","",""
"Colocasia","Northeast Tropical Africa","Africa","Yes","Yes","","","","","",""
"Colocasia","New Zealand","Australasia","Yes","","","","","","",""
"Colocasia","Eastern Asia","Asia-Temperate","Both","Yes","","","","","",""
"Colocasia","South Tropical Africa","Africa","Yes","","","","","","",""
"Colocasia","Northern South America","Southern America","Yes","","","","","","",""
"Colocasia","Middle Atlantic Ocean","Africa","Yes","","","","","","",""
"Colocasia","North-Central Pacific","Pacific","Yes","Yes","","","","","",""
"Colocasia","Southeastern Europe","Europe","Yes","","","","","","",""
"Colocasia","Brazil","Southern America","Yes","Yes","","","","","",""
"Colocasia","Western Indian Ocean","Africa","Yes","","","","","","",""
"Colocasia","Western Asia","Asia-Temperate","Yes","Yes","","","","","",""
"Coprosma","Papuasia","Asia-Tropical","No","","","","","","","Yes"
"Coprosma","South-Central Pacific","Pacific","No","","","","","","","Yes"
"Coprosma","Australia","Australasia","Both","Yes","Yes","","","","","Yes"
"Coprosma","North-Central Pacific","Pacific","No","Yes","Yes","","","","","Yes"
"Coprosma","Southwestern Pacific","Pacific","No","","","","","","","Yes"
"Coprosma","Northern Europe","Europe","Yes","","","","","","","Yes"
"Coprosma","Malesia","Asia-Tropical","No","","","","","","","Yes"
"Coprosma","New Zealand","Australasia","No","Yes","Yes","","","","","Yes"
"Coprosma","Southern South America","Southern America","No","","","","","","","Yes"
"Coprosma","Subantarctic Islands","Antarctica","No","","","","","","","Yes"
"Coriaria","China","Asia-Temperate","No","","","","","","",""
"Coriaria","Western South America","Southern America","No","","","","","","",""
"Coriaria","Papuasia","Asia-Tropical","No","","","","","","",""
"Coriaria","South-Central Pacific","Pacific","No","","","","","","",""
"Coriaria","Northern Africa","Africa","Both","","","","","","",""
"Coriaria","Mexico","Northern America","No","","","","","","",""
"Coriaria","Eastern Asia","Asia-Temperate","No","","","","","","",""
"Coriaria","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Coriaria","Southwestern Europe","Europe","Both","","","","","","",""
"Coriaria","Southeastern Europe","Europe","No","","","","","","",""
"Coriaria","New Zealand","Australasia","No","Yes","Yes","","","","",""
"Coriaria","Southwestern Pacific","Pacific","No","","","","","","",""
"Coriaria","Southern South America","Southern America","No","","","","","","",""
"Coriaria","Indo-China","Asia-Tropical","No","","","","","","",""
"Coriaria","Northern South America","Southern America","No","","","","","","",""
"Coriaria","Central America","Southern America","No","","","","","","",""
"Coriaria","Malesia","Asia-Tropical","No","","","","","","",""
"Cornus","Northeastern U.S.A.","Northern America","No","Yes","","Yes","Yes","","","Yes"
"Cornus","West-Central Tropical Africa","Africa","No","","","Yes","Yes","","","Yes"
"Cornus","Siberia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Cornus","Northern Europe","Europe","No","Yes","Yes","Yes","Yes","","","Yes"
"Cornus","Southwestern Europe","Europe","No","","","Yes","Yes","","","Yes"
"Cornus","Western South America","Southern America","No","","","Yes","Yes","","","Yes"
"Cornus","Southeastern U.S.A.","Northern America","No","Yes","Yes","Yes","Yes","","","Yes"
"Cornus","Eastern Europe","Europe","No","","","Yes","Yes","","","Yes"
"Cornus","Middle Europe","Europe","No","","","Yes","Yes","","","Yes"
"Cornus","East Tropical Africa","Africa","No","","","Yes","Yes","","","Yes"
"Cornus","Russian Far East","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Cornus","Central America","Southern America","No","","","Yes","Yes","","","Yes"
"Cornus","Southwestern U.S.A.","Northern America","No","Yes","","Yes","Yes","","","Yes"
"Cornus","South-Central U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Cornus","South Tropical Africa","Africa","No","","","Yes","Yes","","","Yes"
"Cornus","Northern South America","Southern America","No","","","Yes","Yes","","","Yes"
"Cornus","Southeastern Europe","Europe","No","Yes","","Yes","Yes","","","Yes"
"Cornus","Indo-China","Asia-Tropical","No","","","Yes","Yes","","","Yes"
"Cornus","Eastern Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Cornus","North-Central U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Cornus","Mongolia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Cornus","Eastern Canada","Northern America","No","","","Yes","Yes","","","Yes"
"Cornus","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","","","Yes"
"Cornus","Western Canada","Northern America","No","","","Yes","Yes","","","Yes"
"Cornus","China","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Cornus","Western Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Cornus","Subarctic America","Northern America","No","","","Yes","Yes","","","Yes"
"Cornus","Northeast Tropical Africa","Africa","No","","","Yes","Yes","","","Yes"
"Cornus","New Zealand","Australasia","Yes","","","Yes","Yes","","","Yes"
