"std_name_p","species","genus","L1.name","L2.name","L3.name","L4.name"
"P. captiosa","Eucalyptus saligna","Eucalyptus","Australasia","New Zealand",NA,NA
"P. cinnamomi","Eucalyptus saligna","Eucalyptus","Pacific","North-Central Pacific","Hawaii",NA
"P. cinnamomi","Eucalyptus sieberi","Eucalyptus","Australasia","Australia",NA,NA
"P. nicotianae","Eucalyptus sieberi","Eucalyptus","Australasia","Australia",NA,NA
"P. cinnamomi","Eucalyptus sieberi","Eucalyptus","Pacific","North-Central Pacific","Hawaii",NA
"P. frigida","Eucalyptus smithii","Eucalyptus","Africa","Southern Africa",NA,NA
"P. frigida","Eucalyptus smithii","Eucalyptus","Africa","Southern Africa","Kwazulu-Natal","Kwazulu-Natal"
"P. gondwanensis","Eucalyptus smithii","Eucalyptus","Africa","Southern Africa",NA,NA
"P. cinnamomi","Eucalyptus smithii","Eucalyptus","Africa","Southern Africa",NA,NA
"P. boehmeriae","Eucalyptus smithii","Eucalyptus","Africa","Southern Africa","Kwazulu-Natal","Kwazulu-Natal"
"P. nicotianae","Eucalyptus smithii","Eucalyptus","Africa","Southern Africa",NA,NA
"P. cinnamomi","Eucalyptus smithii","Eucalyptus","Africa","Southern Africa","Kwazulu-Natal","Kwazulu-Natal"
"P. multivora","Eucalyptus victrix","Eucalyptus","Australasia","Australia",NA,NA
"P. nicotianae","Eucalyptus viminalis","Eucalyptus","Southern America","Southern South America",NA,NA
"P. cinnamomi","Eucalyptus viminalis","Eucalyptus","Australasia","Australia",NA,NA
"P. condilina","Eucalyptus wandoo","Eucalyptus","Australasia","Australia",NA,NA
"P. alticola",NA,NA,"Africa","Southern Africa","Kwazulu-Natal","Kwazulu-Natal"
"P. plurivora",NA,"Eucryphia","Europe","Northern Europe","Great Britain","Great Britain"
"P. cinnamomi","Eucryphia lucida","Eucryphia","Australasia","Australia",NA,NA
"P. palmivora","Syzygium aqueum","Syzygium","Asia-Tropical","Malesia",NA,NA
"P. palmivora","Myrcianthes fragrans","Myrcianthes","Asia-Tropical","Malesia",NA,NA
"P. citrophthora",NA,"Euonymus","Northern America","Northeastern U.S.A.","Massachusetts","Massachusetts"
"P. sojae",NA,"Euonymus","Europe","Northern Europe",NA,NA
"P. cryptogea",NA,"Euonymus","Europe","Northern Europe","Great Britain","Great Britain"
"P. ramorum",NA,"Euonymus","Europe","Northern Europe","Great Britain","Great Britain"
"P. syringae",NA,"Euonymus","Europe","Northern Europe","Great Britain","Great Britain"
"P. citrophthora",NA,"Euonymus","Europe","Southeastern Europe","Yugoslavia","Croatia"
"P. citrophthora",NA,"Euonymus","Europe","Northern Europe",NA,NA
"P. cryptogea","Euonymus alatus","Euonymus","Europe","Northern Europe","Great Britain","Great Britain"
"P. hedraiandra","Euonymus alatus","Euonymus","Europe","Northern Europe","Great Britain","Great Britain"
"P. citrophthora","Euonymus fortunei","Euonymus","Europe","Northern Europe",NA,NA
"P. sojae","Euonymus fortunei","Euonymus","Europe","Northern Europe",NA,NA
"P. palmivora","Euonymus japonicus","Euonymus","Asia-Temperate","China",NA,NA
"P. cactorum","Euonymus japonicus","Euonymus","Northern America","Eastern Canada","Ontario","Ontario"
"P. meadii","Euonymus japonicus","Euonymus","Asia-Temperate","China",NA,NA
"P. citrophthora","Euonymus japonicus","Euonymus","Asia-Temperate","China",NA,NA
"P. citrophthora","Euonymus fortunei","Euonymus","Northern America",NA,NA,NA
"P. nicotianae",NA,"Euphorbia","Northern America",NA,NA,NA
"P. nicotianae",NA,"Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora",NA,"Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. cryptogea",NA,"Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. cinnamomi",NA,"Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. gonapodyides",NA,"Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora",NA,"Euphorbia","Europe","Northern Europe",NA,NA
"P. gonapodyides",NA,"Euphorbia","Europe","Northern Europe",NA,NA
"P. cryptogea",NA,"Euphorbia","Europe","Northern Europe",NA,NA
"P. nicotianae",NA,"Euphorbia","Northern America","North-Central U.S.A.","Minnesota","Minnesota"
"P. syringae",NA,"Euphorbia","Europe","Northern Europe",NA,NA
"P. nicotianae",NA,"Euphorbia","Northern America","Southeastern U.S.A.","Florida","Florida"
"P. cinnamomi",NA,"Euphorbia","Europe","Northern Europe",NA,NA
"P. cinnamomi","Euphorbia × martini","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. nicotianae","Euphorbia × martini","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. pseudocryptogea","Euphorbia characias","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. nicotianae","Euphorbia characias","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. cryptogea","Euphorbia characias","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. pseudocryptogea","Euphorbia cornigera","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. castanetorum","Euphorbia cornigera","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. cryptogea","Euphorbia cornigera","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. syringae","Euphorbia mellifera","Euphorbia","Europe","Northern Europe","Great Britain","Great Britain"
"P. nicotianae","Euphorbia splendens","Euphorbia","Asia-Tropical","Indian Subcontinent","India","West Bengal"
"P. palmivora","Euphorbia peplis","Euphorbia","Africa","Western Indian Ocean","Mauritius","Mauritius"
"P. palmivora","Euphorbia peplus","Euphorbia","Africa","Western Indian Ocean","Mauritius","Mauritius"
"P. nicotianae","Euphorbia epithymoides","Euphorbia","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. drechsleri","Euphorbia pulcherrima","Euphorbia","Pacific","North-Central Pacific","Hawaii",NA
"P. drechsleri","Euphorbia pulcherrima","Euphorbia","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. drechsleri","Euphorbia pulcherrima","Euphorbia","Asia-Temperate","Eastern Asia","Korea",NA
"P. nicotianae","Euphorbia pulcherrima","Euphorbia","Pacific","North-Central Pacific","Hawaii",NA
"P. nicotianae","Euphorbia pulcherrima","Euphorbia","Southern America","Caribbean","Puerto Rico","Puerto Rico"
"P. drechsleri","Euphorbia pulcherrima","Euphorbia","Northern America","Mexico",NA,NA
"P. nicotianae","Euphorbia pulcherrima","Euphorbia","Southern America","Brazil",NA,NA
