"plant_genus","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Antidesma","Vanuatu","Southwestern Pacific","Pacific","No","","","","","","",""
"Antidesma","Namibia","Southern Africa","Africa","No","","","","","","",""
"Antidesma","Mali","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Trinidad-Tobago","Caribbean","Southern America","Yes","","","","","","",""
"Antidesma","Samoa","Southwestern Pacific","Pacific","No","","","","","","",""
"Antidesma","Guinea","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Maluku","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","Gulf Of Guinea Is.","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Zaïre","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Laos","Indo-China","Asia-Tropical","No","","","","","","",""
"Antidesma","Philippines","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","China South-Central","China","Asia-Temperate","No","","","","","","",""
"Antidesma","Taiwan","Eastern Asia","Asia-Temperate","No","","","","","","",""
"Antidesma","Benin","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Thailand","Indo-China","Asia-Tropical","No","","","","","","",""
"Antidesma","Comoros","Western Indian Ocean","Africa","No","","","","","","",""
"Antidesma","Central African Repu","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Uganda","East Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Sierra Leone","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Pakistan","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Antidesma","Ivory Coast","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Niger","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Jawa","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","East Himalaya","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Antidesma","Qinghai","China","Asia-Temperate","No","","","","","","",""
"Antidesma","Tibet","China","Asia-Temperate","No","","","","","","",""
"Antidesma","Gambia","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Andaman Is.","Indo-China","Asia-Tropical","No","","","","","","",""
"Antidesma","Sumatera","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","Nansei-Shoto","Eastern Asia","Asia-Temperate","No","","","","","","",""
"Antidesma","Borneo","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","Equatorial Guinea","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Madagascar","Western Indian Ocean","Africa","No","","","","","","",""
"Antidesma","Rwanda","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Gabon","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Guinea-Bissau","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Hainan","China","Asia-Temperate","No","","","","","","",""
"Antidesma","Zimbabwe","South Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Northern Provinces","Southern Africa","Africa","No","","","","","","",""
"Antidesma","Bismarck Archipelago","Papuasia","Asia-Tropical","No","","","","","","",""
"Antidesma","Burkina","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","China Southeast","China","Asia-Temperate","No","","","","","","",""
"Antidesma","Marianas","Northwestern Pacific","Pacific","Yes","","","","","","",""
"Antidesma","Togo","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Cambodia","Indo-China","Asia-Tropical","No","","","","","","",""
"Antidesma","Nepal","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Antidesma","Mozambique","South Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Cameroon","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Senegal","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Malaya","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","Vietnam","Indo-China","Asia-Tropical","No","","","","","","",""
"Antidesma","Nicobar Is.","Indo-China","Asia-Tropical","No","","","","","","",""
"Antidesma","Lesser Sunda Is.","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","Réunion","Western Indian Ocean","Africa","No","","","","","","",""
"Antidesma","Swaziland","Southern Africa","Africa","No","","","","","","",""
"Antidesma","Somalia","Northeast Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Assam","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Antidesma","Sri Lanka","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Antidesma","Myanmar","Indo-China","Asia-Tropical","No","","","","","","",""
"Antidesma","Angola","South Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Congo","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Japan","Eastern Asia","Asia-Temperate","No","","","","","","",""
"Antidesma","Ethiopia","Northeast Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Northern Territory","Australia","Australasia","No","","","","","","",""
"Antidesma","Sulawesi","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","Christmas I.","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","Mauritius","Western Indian Ocean","Africa","No","","","","","","",""
"Antidesma","Botswana","Southern Africa","Africa","No","","","","","","",""
"Antidesma","Kenya","East Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Kwazulu-Natal","Southern Africa","Africa","No","","","","","","",""
"Antidesma","Malawi","South Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Bangladesh","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Antidesma","West Himalaya","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Antidesma","India","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Antidesma","New Guinea","Papuasia","Asia-Tropical","No","","","","","","",""
"Antidesma","Cape Provinces","Southern Africa","Africa","No","","","","","","",""
"Antidesma","Solomon Is.","Papuasia","Asia-Tropical","No","","","","","","",""
"Araucaria","Tokelau-Manihiki","Southwestern Pacific","Pacific","Yes","","","Yes","","Yes","","Yes"
