"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Meryta","Australasia","No","Yes","Yes","","","","",""
"Metrosideros","Africa","Both","","","","","","",""
"Metrosideros","Pacific","Both","Yes","Yes","","","","",""
"Metrosideros","Southern America","No","","","","","","",""
"Metrosideros","Asia-Tropical","No","","","","","","",""
"Metrosideros","Australasia","Both","Yes","Yes","","","","",""
"Metrosideros","Asia-Temperate","No","","","","","","",""
"Metrosideros","Antarctica","Yes","","","","","","",""
"Micromyrtus","Australasia","No","Yes","Yes","","","","",""
"Myrtus","Africa","Both","","","Yes","Yes","","",""
"Myrtus","Europe","No","Yes","Yes","Yes","Yes","","",""
"Myrtus","Asia-Temperate","No","","","Yes","Yes","","",""
"Myrtus","Asia-Tropical","Both","","","Yes","Yes","","",""
"Myrtus","Southern America","Yes","","","Yes","Yes","","",""
"Myrtus","Northern America","Yes","Yes","","Yes","Yes","","",""
"Neopanax","Australasia","No","Yes","Yes","","","","",""
"Nothofagus","Southern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Nothofagus","Australasia","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Nothofagus","Pacific","No","","","Yes","Yes","Yes","Yes","Yes"
"Nothofagus","Europe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Nothofagus","Asia-Tropical","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Panax","Northern America","No","Yes","","","","","",""
"Panax","Asia-Temperate","No","Yes","Yes","","","","",""
"Panax","Asia-Tropical","No","","","","","","",""
"Pericalymma","Australasia","No","Yes","Yes","","","","",""
"Pseudopanax","Australasia","No","Yes","Yes","","","","",""
"Psidium","Northern America","Both","Yes","Yes","Yes","","","",""
"Psidium","Pacific","Yes","Yes","Yes","Yes","","","",""
"Psidium","Southern America","Both","Yes","","Yes","","","",""
"Psidium","Africa","Yes","Yes","","Yes","","","",""
"Psidium","Asia-Temperate","Yes","Yes","","Yes","","","",""
"Psidium","Asia-Tropical","Yes","Yes","","Yes","","","",""
"Psidium","Australasia","Yes","","","Yes","","","",""
"Psychotria","Pacific","No","Yes","Yes","","","","",""
"Psychotria","Asia-Temperate","No","","","","","","",""
"Psychotria","Asia-Tropical","No","","","","","","",""
"Psychotria","Africa","Both","","","","","","",""
"Psychotria","Southern America","No","","","","","","",""
"Psychotria","Australasia","No","","","","","","",""
"Psychotria","Northern America","No","","","","","","",""
"Quercus","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Quercus","Asia-Temperate","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Quercus","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Quercus","Africa","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Quercus","Asia-Tropical","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Quercus","Southern America","Both","","","Yes","Yes","Yes","Yes","Yes"
"Quercus","Australasia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Richardia","Africa","Yes","","","","","","",""
"Richardia","Northern America","Both","Yes","Yes","","","","",""
"Richardia","Southern America","Both","","","","","","",""
"Richardia","Australasia","Yes","","","","","","",""
"Richardia","Pacific","Yes","Yes","Yes","","","","",""
"Richardia","Asia-Temperate","Yes","","","","","","",""
"Richardia","Asia-Tropical","Yes","","","","","","",""
"Ricinocarpos","Australasia","No","Yes","Yes","","","","",""
"Ricinus","Southern America","Yes","Yes","","","","","",""
"Ricinus","Africa","Both","Yes","","","","","",""
"Ricinus","Asia-Tropical","Yes","Yes","","","","","",""
"Ricinus","Asia-Temperate","Yes","Yes","","","","","",""
"Ricinus","Northern America","Yes","Yes","Yes","","","","",""
"Ricinus","Pacific","Yes","Yes","Yes","","","","",""
"Ricinus","Australasia","Yes","Yes","","","","","",""
"Ricinus","Europe","Yes","","","","","","",""
"Salvia","Southern America","Both","Yes","","Yes","","Yes","","Yes"
"Salvia","Australasia","Both","Yes","Yes","Yes","","Yes","","Yes"
"Salvia","Northern America","Both","Yes","","Yes","","Yes","","Yes"
"Salvia","Pacific","Yes","","","Yes","","Yes","","Yes"
"Salvia","Asia-Tropical","Both","Yes","","Yes","","Yes","","Yes"
"Salvia","Africa","Both","","","Yes","","Yes","","Yes"
"Salvia","Asia-Temperate","Both","Yes","","Yes","","Yes","","Yes"
"Salvia","Europe","Both","Yes","","Yes","","Yes","","Yes"
"Spathiphyllum","Asia-Tropical","Both","","","","","","",""
"Spathiphyllum","Southern America","Both","","","","","","",""
"Spathiphyllum","Africa","Yes","","","","","","",""
"Spathiphyllum","Pacific","Both","","","","","","",""
"Spathiphyllum","Northern America","No","Yes","","","","","",""
"Syncarpia","Australasia","No","Yes","Yes","","","","",""
"Syncarpia","Africa","Yes","","","","","","",""
"Syncarpia","Asia-Tropical","Yes","","","","","","",""
"Syncarpia","Pacific","Yes","","","","","","",""
"Syzygium","Asia-Tropical","No","Yes","Yes","","","","",""
"Syzygium","Africa","Both","","","","","","",""
"Syzygium","Asia-Temperate","No","","","","","","",""
"Syzygium","Australasia","Both","Yes","Yes","","","","",""
"Syzygium","Pacific","Both","","","","","","",""
"Syzygium","Southern America","Yes","","","","","","",""
"Syzygium","Northern America","Yes","Yes","","","","","",""
"Thryptomene","Australasia","No","Yes","Yes","","","","",""
"Ugni","Europe","Yes","","","","","","","Yes"
"Ugni","Northern America","No","","","","","","","Yes"
"Ugni","Southern America","No","","","","","","","Yes"
"Ugni","Australasia","Yes","Yes","Yes","","","","","Yes"
"Vernicia","Northern America","Yes","Yes","Yes","","","","",""
"Vernicia","Asia-Temperate","Both","Yes","","","","","",""
"Vernicia","Southern America","Yes","","","","","","",""
"Vernicia","Australasia","Yes","","","","","","",""
"Vernicia","Asia-Tropical","Both","Yes","","","","","",""
"Vernicia","Pacific","Yes","","","","","","",""
"Vernicia","Africa","Yes","","","","","","",""
"Verticordia","Australasia","No","Yes","Yes","","","","",""
"Vinca","Southern America","Yes","","","","","","","Yes"
"Vinca","Europe","Both","Yes","","","","","","Yes"
"Vinca","Asia-Temperate","Both","","","","","","","Yes"
"Vinca","Africa","Both","","","","","","","Yes"
"Vinca","Northern America","Yes","Yes","Yes","","","","","Yes"
"Vinca","Asia-Tropical","Yes","","","","","","","Yes"
"Vinca","Australasia","Yes","Yes","","","","","","Yes"
"Vitex","Pacific","No","","","Yes","","","",""
"Vitex","Australasia","No","Yes","Yes","Yes","","","",""
"Vitex","Northern America","Both","","","Yes","","","",""
"Vitex","Asia-Temperate","Both","","","Yes","","","",""
"Vitex","Asia-Tropical","Both","","","Yes","","","",""
"Vitex","Southern America","Both","","","Yes","","","",""
"Vitex","Africa","Both","","","Yes","","","",""
"Vitex","Europe","No","Yes","","Yes","","","",""
"Washingtonia","Southern America","Yes","","","","","","",""
"Washingtonia","Australasia","Yes","Yes","Yes","","","","",""
"Washingtonia","Europe","Yes","","","","","","",""
"Washingtonia","Africa","Yes","","","","","","",""
"Washingtonia","Northern America","Both","Yes","","","","","",""
"Washingtonia","Pacific","Yes","","","","","","",""
"Washingtonia","Asia-Temperate","Yes","Yes","","","","","",""
"Wodyetia","Australasia","No","Yes","Yes","","","","",""
"Wollemia","Australasia","No","Yes","Yes","","","","",""
"Xanthomyrtus","Asia-Tropical","No","","","","","","",""
"Xanthomyrtus","Pacific","No","","","","","","",""
"Ananas","Africa","Yes","Yes","Yes","","","","",""
"Ananas","Southern America","Both","Yes","Yes","","","","",""
"Ananas","Asia-Temperate","Yes","Yes","Yes","","","","",""
"Ananas","Northern America","Yes","Yes","Yes","","","","",""
"Ananas","Pacific","Yes","Yes","Yes","","","","",""
"Ananas","Asia-Tropical","Yes","Yes","Yes","","","","",""
"Ananas","Australasia","Yes","Yes","Yes","","","","",""
"Anigozanthos","Australasia","Both","Yes","Yes","","","","",""
"Anigozanthos","Southern America","Yes","","","","","","",""
"Carex","Africa","No","","","","","","","Yes"
"Carex","Asia-Tropical","No","","","","","","","Yes"
