"Phytophthora","Host","Level.4","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Boronia",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Bossiaea",NA,NA,"Australia","Australasia",5,NA
"P. cinnamomi","Brabejum",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Brunonia",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Buxus","Florida","Florida","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Buxus","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Buxus","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Buxus",NA,NA,NA,"Northern America",3,NA
"P. cinnamomi","Cajanus",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Cajanus",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Caladenia",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Caleana",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Callitris",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Callitris",NA,NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Calluna","Croatia","Yugoslavia","Southeastern Europe","Europe",3,"Yes"
"P. cinnamomi","Calluna","Czech Republic","Czechoslovakia","Middle Europe","Europe",1,"Yes"
"P. cinnamomi","Calluna","Germany","Germany","Middle Europe","Europe",2,"Yes"
"P. cinnamomi","Calluna","Great Britain","Great Britain","Northern Europe","Europe",1,"Yes"
"P. cinnamomi","Calluna","Oregon","Oregon","Northwestern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Calluna","Poland","Poland","Middle Europe","Europe",2,"Yes"
"P. cinnamomi","Calluna",NA,NA,"Australia","Australasia",2,"Yes"
"P. cinnamomi","Calluna",NA,NA,"New Zealand","Australasia",4,"Yes"
"P. cinnamomi","Calocedrus","California","California","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Calocedrus",NA,NA,NA,"Northern America",3,NA
"P. cinnamomi","Calytrix",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Calytrix",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Camelia","Germany","Germany","Middle Europe","Europe",1,NA
"P. cinnamomi","Camelia",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Camellia","Alabama","Alabama","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Camellia","California","California","Southwestern U.S.A.","Northern America",6,NA
"P. cinnamomi","Camellia","Florida","Florida","Southeastern U.S.A.","Northern America",4,NA
"P. cinnamomi","Camellia","Germany","Germany","Middle Europe","Europe",2,NA
"P. cinnamomi","Camellia","Louisiana","Louisiana","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Camellia","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",4,NA
