"plant_genus","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Antidesma","Laos","Indo-China","Asia-Tropical",0,"","","","","","",""
"Antidesma","Philippines","Malesia","Asia-Tropical",0,"","","","","","",""
"Antidesma","China South-Central","China","Asia-Temperate",0,"","","","","","",""
"Antidesma","Taiwan","Eastern Asia","Asia-Temperate",0,"","","","","","",""
"Antidesma","Benin","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Thailand","Indo-China","Asia-Tropical",0,"","","","","","",""
"Antidesma","Comoros","Western Indian Ocean","Africa",0,"","","","","","",""
"Antidesma","Central African Repu","West-Central Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Uganda","East Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Sierra Leone","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Pakistan","Indian Subcontinent","Asia-Tropical",0,"","","","","","",""
"Antidesma","Ivory Coast","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Niger","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Jawa","Malesia","Asia-Tropical",0,"","","","","","",""
"Antidesma","East Himalaya","Indian Subcontinent","Asia-Tropical",0,"","","","","","",""
"Antidesma","Qinghai","China","Asia-Temperate",0,"","","","","","",""
"Antidesma","Tibet","China","Asia-Temperate",0,"","","","","","",""
"Antidesma","Gambia","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Andaman Is.","Indo-China","Asia-Tropical",0,"","","","","","",""
"Antidesma","Sumatera","Malesia","Asia-Tropical",0,"","","","","","",""
"Antidesma","Nansei-Shoto","Eastern Asia","Asia-Temperate",0,"","","","","","",""
"Antidesma","Borneo","Malesia","Asia-Tropical",0,"","","","","","",""
"Antidesma","Equatorial Guinea","West-Central Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Madagascar","Western Indian Ocean","Africa",0,"","","","","","",""
"Antidesma","Rwanda","West-Central Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Gabon","West-Central Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Guinea-Bissau","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Hainan","China","Asia-Temperate",0,"","","","","","",""
