"plant_name","plant_name_full","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Laburnum × watereri","Laburnum × watereri","Eastern Canada","Northern America","1","","","Yes","Yes","","","Yes"
"Laburnum × watereri","Laburnum × watereri","Middle Europe","Europe","0","","","Yes","Yes","","","Yes"
"Laburnum × watereri","Laburnum × watereri","Northern Europe","Europe","1","Yes","Yes","Yes","Yes","","","Yes"
"Litsea calicaris","Litsea calicaris","New Zealand","Australasia","0","Yes","Yes","","","","",""
"Machilus thunbergii","Machilus thunbergii","Eastern Asia","Asia-Temperate","0","Yes","Yes","","","","",""
"Machilus thunbergii","Machilus thunbergii","China","Asia-Temperate","0","","","","","","",""
"Machilus thunbergii","Machilus thunbergii","Indo-China","Asia-Tropical","0","","","","","","",""
"Machilus japonicus","Machilus japonicus","Eastern Asia","Asia-Temperate","0","Yes","Yes","","","","",""
"Monotoca elliptica","Monotoca elliptica","Australia","Australasia","0","Yes","Yes","","","","",""
"Monotoca glauca","Monotoca glauca","Australia","Australasia","0","Yes","Yes","","","","",""
"Mirbelia dilatata","Mirbelia dilatata","Australia","Australasia","0","Yes","Yes","","","","",""
"Mucuna gigantea","Mucuna gigantea","East Tropical Africa","Africa","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","Southwestern Pacific","Pacific","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","North-Central Pacific","Pacific","1","Yes","Yes","","","","",""
"Mucuna gigantea","Mucuna gigantea","Indian Subcontinent","Asia-Tropical","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","Western Indian Ocean","Africa","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","South-Central Pacific","Pacific","both","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","West-Central Tropical Africa","Africa","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","Australia","Australasia","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","Northwestern Pacific","Pacific","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","China","Asia-Temperate","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","Eastern Asia","Asia-Temperate","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","South Tropical Africa","Africa","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","Indo-China","Asia-Tropical","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","Malesia","Asia-Tropical","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","Southern Africa","Africa","0","","","","","","",""
"Mucuna gigantea","Mucuna gigantea","Papuasia","Asia-Tropical","0","","","","","","",""
"Mitrasacme pilosa","Mitrasacme pilosa","Australia","Australasia","0","Yes","Yes","","","","",""
"Nematolepis squamea","Nematolepis squamea","Australia","Australasia","0","Yes","Yes","","","","",""
"Nymania capensis","Nymania capensis","Southern Africa","Africa","0","Yes","Yes","","","","",""
"Ocotea bullata","Ocotea bullata","Southern Africa","Africa","0","Yes","Yes","","","","",""
"Ocotea floribunda","Ocotea floribunda","Caribbean","Southern America","0","","","","","","",""
"Ocotea floribunda","Ocotea floribunda","Western South America","Southern America","0","Yes","Yes","","","","",""
"Ocotea floribunda","Ocotea floribunda","Northern South America","Southern America","0","","","","","","",""
"Ocotea floribunda","Ocotea floribunda","Brazil","Southern America","0","","","","","","",""
