"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Elaeocarpus","Pacific","0","","","","","","",""
"Elaeocarpus","Africa","both","","","","","","",""
"Embothrium","Southern America","0","","","Yes","Yes","","",""
"Engelhardia","Asia-Tropical","0","","","","","","",""
"Engelhardia","Asia-Temperate","0","Yes","Yes","","","","",""
"Entelea","Southern America","1","","","","","","",""
"Entelea","Australasia","0","Yes","Yes","","","","",""
"Epacris","Australasia","0","Yes","Yes","","","","",""
"Erica","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Erica","Africa","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Erica","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Erica","Australasia","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Erica","Northern America","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Erica","Antarctica","1","","","Yes","Yes","Yes","Yes","Yes"
"Erica","Pacific","1","","","Yes","Yes","Yes","Yes","Yes"
"Eucryphia","Australasia","0","Yes","Yes","Yes","","","",""
"Eucryphia","Southern America","0","","","Yes","","","",""
"Euonymus","Northern America","both","Yes","","Yes","Yes","","","Yes"
"Euonymus","Australasia","both","","","Yes","Yes","","","Yes"
"Euonymus","Asia-Tropical","0","","","Yes","Yes","","","Yes"
"Euonymus","Asia-Temperate","0","Yes","","Yes","Yes","","","Yes"
"Euonymus","Europe","0","Yes","Yes","Yes","Yes","","","Yes"
"Euonymus","Southern America","0","","","Yes","Yes","","","Yes"
"Euonymus","Africa","0","","","Yes","Yes","","","Yes"
"Eustoma","Northern America","0","","","","","","",""
"Eustoma","Southern America","0","","","","","","",""
"Eustoma","Pacific","1","","","","","","",""
"Ficus","Europe","both","Yes","","Yes","","","","Yes"
"Ficus","Pacific","both","Yes","","Yes","","","","Yes"
"Ficus","Australasia","both","Yes","Yes","Yes","","","","Yes"
"Ficus","Africa","both","Yes","","Yes","","","","Yes"
"Ficus","Asia-Tropical","0","Yes","","Yes","","","","Yes"
"Ficus","Asia-Temperate","both","Yes","Yes","Yes","","","","Yes"
"Ficus","Antarctica","1","","","Yes","","","","Yes"
"Ficus","Southern America","both","Yes","Yes","Yes","","","","Yes"
"Ficus","Northern America","both","Yes","Yes","Yes","","","","Yes"
"Flindersia","Asia-Tropical","0","","","","","","",""
"Flindersia","Australasia","0","","","","","","",""
"Flindersia","Pacific","both","Yes","Yes","","","","",""
"Fothergilla","Northern America","0","","","Yes","Yes","","",""
"Frangula","Asia-Tropical","0","","","","","","","Yes"
"Frangula","Southern America","both","","","","","","","Yes"
"Frangula","Northern America","both","Yes","Yes","","","","","Yes"
"Frangula","Asia-Temperate","both","","","","","","","Yes"
"Frangula","Europe","0","","","","","","","Yes"
"Frangula","Africa","both","","","","","","","Yes"
"Frangula","Pacific","1","","","","","","","Yes"
"Fuchsia","Southern America","both","Yes","","Yes","","Yes","","Yes"
"Fuchsia","Africa","1","","","Yes","","Yes","","Yes"
"Fuchsia","Pacific","both","","","Yes","","Yes","","Yes"
"Fuchsia","Northern America","both","Yes","Yes","Yes","","Yes","","Yes"
