"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Castanea","Southeastern Europe","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Eastern Europe","Europe","1","Yes","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Eastern Asia","Asia-Temperate","both","Yes","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Middle Europe","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Caribbean","Southern America","1","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Eastern Canada","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","China","Asia-Temperate","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Northern Europe","Europe","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Southern South America","Southern America","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Caucasus","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Castanopsis","China","Asia-Temperate","0","","","Yes","Yes","","",""
"Castanopsis","Eastern Asia","Asia-Temperate","0","Yes","Yes","Yes","Yes","","",""
"Castanopsis","Indian Subcontinent","Asia-Tropical","0","Yes","","Yes","Yes","","",""
"Castanopsis","Malesia","Asia-Tropical","0","","","Yes","Yes","","",""
"Castanopsis","Indo-China","Asia-Tropical","0","Yes","Yes","Yes","Yes","","",""
"Castanopsis","Papuasia","Asia-Tropical","0","Yes","Yes","Yes","Yes","","",""
"Chamelaucium","Australia","Australasia","0","Yes","Yes","","","","",""
"Chamelaucium","Southwestern U.S.A.","Northern America","1","","","","","","",""
"Chamelaucium","New Zealand","Australasia","1","","","","","","",""
"Cheirodendron","South-Central Pacific","Pacific","0","","","","","","",""
"Cheirodendron","North-Central Pacific","Pacific","0","Yes","Yes","","","","",""
"Chrysolepis","Northwestern U.S.A.","Northern America","0","","","","","","",""
"Chrysolepis","Southwestern U.S.A.","Northern America","0","","Yes","","","","",""
"Cinchona","Caribbean","Southern America","1","Yes","","","","","",""
"Cinchona","Central America","Southern America","both","Yes","Yes","","","","",""
"Cinchona","Mexico","Northern America","1","","","","","","",""
"Cinchona","West-Central Tropical Africa","Africa","both","Yes","Yes","","","","",""
"Cinchona","Northwestern Pacific","Pacific","1","","","","","","",""
"Cinchona","Northern South America","Southern America","0","Yes","","","","","",""
"Cinchona","West Tropical Africa","Africa","1","","","","","","",""
"Cinchona","Western South America","Southern America","both","Yes","Yes","","","","",""
"Cinchona","North-Central Pacific","Pacific","1","","","","","","",""
"Cinchona","Middle Atlantic Ocean","Africa","1","","","","","","",""
"Cinchona","Malesia","Asia-Tropical","1","Yes","Yes","","","","",""
"Cinchona","South-Central Pacific","Pacific","1","","","","","","",""
"Coleus","West Tropical Africa","Africa","0","","","","","","",""
"Coleus","Western Indian Ocean","Africa","both","","","","","","",""
"Coleus","Caribbean","Southern America","1","","","","","","",""
"Coleus","Australia","Australasia","both","Yes","Yes","","","","",""
"Coleus","Southern Africa","Africa","0","","","","","","",""
"Coleus","Indian Subcontinent","Asia-Tropical","0","Yes","","","","","",""
"Coleus","Malesia","Asia-Tropical","0","","","","","","",""
"Coleus","Western South America","Southern America","1","","","","","","",""
"Coleus","Papuasia","Asia-Tropical","0","","","","","","",""
"Coleus","Indo-China","Asia-Tropical","0","","","","","","",""
"Coleus","Central America","Southern America","1","","","","","","",""
"Coleus","Southwestern Pacific","Pacific","both","","","","","","",""
"Coleus","Brazil","Southern America","1","","","","","","",""
"Coleus","West-Central Tropical Africa","Africa","0","","","","","","",""
"Coleus","Mexico","Northern America","1","Yes","","","","","",""
"Coleus","Northern South America","Southern America","1","","","","","","",""
"Coleus","Southeastern U.S.A.","Northern America","1","","","","","","",""
"Coleus","Northeast Tropical Africa","Africa","0","","","","","","",""
"Coleus","Eastern Asia","Asia-Temperate","0","","","","","","",""
"Coleus","Northwestern Pacific","Pacific","both","","","","","","",""
"Coleus","South Tropical Africa","Africa","0","","","","","","",""
"Coleus","East Tropical Africa","Africa","0","","","","","","",""
"Coleus","South-Central Pacific","Pacific","both","","","","","","",""
"Coleus","Middle Atlantic Ocean","Africa","1","","","","","","",""
"Coleus","North-Central Pacific","Pacific","0","","","","","","",""
"Coleus","China","Asia-Temperate","0","","","","","","",""
"Coleus","Arabian Peninsula","Asia-Temperate","0","","","","","","",""
"Coleus","Macaronesia","Africa","1","","","","","","",""
"Coleus","Northern Africa","Africa","0","","","","","","",""
"Colocasia","Indo-China","Asia-Tropical","both","Yes","","","","","",""
